# IODP371 site U1508 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
223.5348	1.9448	1.6648
223.6872	1.9422	1.6649
223.8396	1.9442	1.6650
223.9920	1.9492	1.6651
224.1444	1.9542	1.6652
224.2968	1.9574	1.6654
224.4492	1.9586	1.6655
224.6016	1.9564	1.6656
224.7540	1.9542	1.6657
224.9064	1.9526	1.6659
225.0588	1.9486	1.6660
225.2112	1.9506	1.6661
225.3636	1.9494	1.6662
225.5160	1.9548	1.6663
225.6684	1.9569	1.6665
225.8208	1.9537	1.6666
225.9732	1.9499	1.6667
226.1256	1.9470	1.6668
226.2780	1.9426	1.6669
226.4304	1.9446	1.6671
226.5828	1.9395	1.6672
226.7352	1.9391	1.6673
226.8876	1.9476	1.6674
227.0400	1.9404	1.6675
227.1924	1.9433	1.6677
227.3448	1.9468	1.6678
227.4972	1.9545	1.6679
227.6496	1.9528	1.6680
227.8020	1.9523	1.6682
227.9544	1.9676	1.6683
228.1068	1.9634	1.6684
228.2592	1.9642	1.6685
228.4116	1.9645	1.6686
228.5640	1.9670	1.6688
228.7164	1.9883	1.6689
228.8688	1.9914	1.6690
229.0212	1.9901	1.6691
229.1736	2.0037	1.6693
229.3260	2.0086	1.6694
229.4784	2.0036	1.6695
229.6308	1.9932	1.6696
229.7832	2.0158	1.6697
229.9356	2.0176	1.6699
230.0880	2.0156	1.6700
230.2404	2.0139	1.6701
230.3928	2.0104	1.6702
230.5452	2.0105	1.6704
230.6976	2.0585	1.6705
230.8500	2.0683	1.6706
231.0024	2.0749	1.6707
231.1548	2.0723	1.6708
231.3072	2.0773	1.6710
231.4596	2.0680	1.6711
231.6120	2.0440	1.6712
231.7644	2.0394	1.6713
231.9168	2.0369	1.6715
232.0692	2.0275	1.6716
232.2216	2.0203	1.6717
232.3740	2.0157	1.6718
232.5264	2.0190	1.6720
232.6788	2.0181	1.6721
